發生日期時間,公司名稱,工程名稱,事故詳細地址,災害類型,罹災人數,場所肇災處(事故經過)
105/12/12 08:00,大陸工程股份有限公司,高速公路拓寬工程 (第1期),桃園市中壢區中正路160號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/05/03 15:00,工信工程股份有限公司,集合住宅新建工程 (第2期),桃園市中壢區中正路387號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/05/23 15:00,根基營造股份有限公司,中心商業大樓新建案 (第1期),臺中市西屯區台灣大道286號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/11/21 15:00,根基營造股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道87號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/02/21 11:00,大陸工程股份有限公司,高速公路拓寬工程 (第1期),臺北市內湖區瑞光路458號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/11/05 14:00,互助營造股份有限公司,中心商業大樓新建案 (第2期),桃園市中壢區中正路276號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/11/04 13:00,皇昌營造股份有限公司,廠房新建工程 (第2期),桃園市中壢區中正路278號,被撞,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/05/17 13:00,達欣工程股份有限公司,中心商業大樓新建案 (第3期),新北市板橋區文化路284號,被撞,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/12/12 09:00,達欣工程股份有限公司,廠房新建工程 (第3期),臺中市西屯區台灣大道171號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/07/05 12:00,建國工程股份有限公司,高速公路拓寬工程 (第2期),臺北市內湖區瑞光路45號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/07/09 09:00,根基營造股份有限公司,廠房新建工程 (第1期),臺中市西屯區台灣大道254號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/04/27 13:00,皇昌營造股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路176號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/07/02 09:00,皇昌營造股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道184號,被撞,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/05/19 12:00,達欣工程股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路339號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/10/09 11:00,遠雄營造股份有限公司,中心商業大樓新建案 (第3期),臺北市內湖區瑞光路19號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/10/15 16:00,皇昌營造股份有限公司,廠房新建工程 (第2期),新北市板橋區文化路97號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/04/16 13:00,達欣工程股份有限公司,高速公路拓寬工程 (第1期),新北市板橋區文化路446號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/03/25 17:00,中鼎工程股份有限公司,廠房新建工程 (第1期),新北市板橋區文化路108號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/05/20 13:00,工信工程股份有限公司,高速公路拓寬工程 (第1期),桃園市中壢區中正路457號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/08/02 15:00,大陸工程股份有限公司,集合住宅新建工程 (第2期),臺中市西屯區台灣大道449號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/11/16 12:00,根基營造股份有限公司,廠房新建工程 (第2期),桃園市中壢區中正路154號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/04/24 11:00,工信工程股份有限公司,中心商業大樓新建案 (第2期),新北市板橋區文化路483號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/02/01 08:00,大陸工程股份有限公司,中心商業大樓新建案 (第1期),新北市板橋區文化路247號,墜落、滾落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/06/09 09:00,中鼎工程股份有限公司,廠房新建工程 (第2期),新北市板橋區文化路285號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/09/16 17:00,中鼎工程股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路43號,倒塌、崩塌,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/09/12 09:00,中鼎工程股份有限公司,廠房新建工程 (第1期),桃園市中壢區中正路339號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/08/19 14:00,皇昌營造股份有限公司,中心商業大樓新建案 (第1期),高雄市苓雅區四維四路408號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/10/24 08:00,達欣工程股份有限公司,集合住宅新建工程 (第2期),臺北市內湖區瑞光路193號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/08/09 15:00,皇昌營造股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道231號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/04/25 16:00,瑞助營造股份有限公司,高速公路拓寬工程 (第2期),新北市板橋區文化路210號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/10/16 17:00,皇昌營造股份有限公司,中心商業大樓新建案 (第1期),高雄市苓雅區四維四路369號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/03/27 15:00,瑞助營造股份有限公司,高速公路拓寬工程 (第3期),新北市板橋區文化路418號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/10/13 09:00,工信工程股份有限公司,捷運系統土建工程 (第1期),新北市板橋區文化路73號,被撞,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/05/28 08:00,皇昌營造股份有限公司,高速公路拓寬工程 (第2期),臺中市西屯區台灣大道232號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/06/17 11:00,互助營造股份有限公司,集合住宅新建工程 (第3期),新北市板橋區文化路60號,物體飛落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/11/15 16:00,皇昌營造股份有限公司,中心商業大樓新建案 (第2期),桃園市中壢區中正路462號,被撞,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/06/25 17:00,大陸工程股份有限公司,捷運系統土建工程 (第1期),高雄市苓雅區四維四路360號,物體飛落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/11/02 17:00,皇昌營造股份有限公司,高速公路拓寬工程 (第2期),臺北市內湖區瑞光路380號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/12/01 11:00,中鼎工程股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道398號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/06/11 15:00,皇昌營造股份有限公司,高速公路拓寬工程 (第2期),臺中市西屯區台灣大道304號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/11/22 10:00,達欣工程股份有限公司,高速公路拓寬工程 (第1期),臺中市西屯區台灣大道156號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/04/23 12:00,中鼎工程股份有限公司,廠房新建工程 (第2期),臺中市西屯區台灣大道192號,倒塌、崩塌,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/03/21 11:00,互助營造股份有限公司,廠房新建工程 (第2期),臺北市內湖區瑞光路336號,倒塌、崩塌,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/09/20 08:00,根基營造股份有限公司,集合住宅新建工程 (第1期),新北市板橋區文化路356號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/03/08 11:00,大陸工程股份有限公司,廠房新建工程 (第1期),新北市板橋區文化路55號,倒塌、崩塌,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/01/20 15:00,互助營造股份有限公司,高速公路拓寬工程 (第2期),高雄市苓雅區四維四路246號,物體飛落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/01/23 09:00,建國工程股份有限公司,廠房新建工程 (第1期),臺北市內湖區瑞光路35號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/01/19 11:00,達欣工程股份有限公司,廠房新建工程 (第3期),新北市板橋區文化路371號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/06/22 10:00,工信工程股份有限公司,集合住宅新建工程 (第3期),臺北市內湖區瑞光路269號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/08/10 14:00,工信工程股份有限公司,集合住宅新建工程 (第2期),臺北市內湖區瑞光路403號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/09/27 09:00,皇昌營造股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道299號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/07/12 08:00,中鼎工程股份有限公司,廠房新建工程 (第1期),桃園市中壢區中正路86號,物體飛落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/05/13 15:00,大陸工程股份有限公司,高速公路拓寬工程 (第3期),臺中市西屯區台灣大道151號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/04/06 14:00,瑞助營造股份有限公司,廠房新建工程 (第3期),臺北市內湖區瑞光路180號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/10/07 09:00,互助營造股份有限公司,廠房新建工程 (第1期),高雄市苓雅區四維四路64號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/08/25 11:00,瑞助營造股份有限公司,中心商業大樓新建案 (第2期),臺中市西屯區台灣大道347號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/02/19 11:00,大陸工程股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路213號,感電,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/07/02 11:00,遠雄營造股份有限公司,高速公路拓寬工程 (第1期),臺中市西屯區台灣大道129號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/04/02 11:00,建國工程股份有限公司,廠房新建工程 (第2期),新北市板橋區文化路386號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/03/07 16:00,瑞助營造股份有限公司,捷運系統土建工程 (第1期),臺中市西屯區台灣大道95號,倒塌、崩塌,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/11/02 12:00,工信工程股份有限公司,高速公路拓寬工程 (第1期),新北市板橋區文化路271號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/03/25 13:00,根基營造股份有限公司,捷運系統土建工程 (第2期),臺中市西屯區台灣大道451號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/04/06 11:00,互助營造股份有限公司,高速公路拓寬工程 (第2期),桃園市中壢區中正路435號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/10/21 15:00,根基營造股份有限公司,廠房新建工程 (第2期),臺北市內湖區瑞光路488號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/11/08 11:00,互助營造股份有限公司,中心商業大樓新建案 (第2期),新北市板橋區文化路275號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/09/15 08:00,遠雄營造股份有限公司,集合住宅新建工程 (第2期),高雄市苓雅區四維四路344號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/02/14 12:00,皇昌營造股份有限公司,高速公路拓寬工程 (第3期),臺北市內湖區瑞光路345號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/03/25 15:00,工信工程股份有限公司,中心商業大樓新建案 (第3期),臺北市內湖區瑞光路226號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/11/02 10:00,工信工程股份有限公司,高速公路拓寬工程 (第2期),臺北市內湖區瑞光路344號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/08/16 17:00,達欣工程股份有限公司,高速公路拓寬工程 (第1期),新北市板橋區文化路423號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/05/09 12:00,達欣工程股份有限公司,集合住宅新建工程 (第2期),新北市板橋區文化路475號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/03/16 10:00,皇昌營造股份有限公司,捷運系統土建工程 (第2期),臺中市西屯區台灣大道419號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/12/15 08:00,根基營造股份有限公司,捷運系統土建工程 (第2期),新北市板橋區文化路339號,倒塌、崩塌,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/10/16 15:00,瑞助營造股份有限公司,捷運系統土建工程 (第3期),臺北市內湖區瑞光路199號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/09/22 12:00,互助營造股份有限公司,集合住宅新建工程 (第1期),新北市板橋區文化路489號,被撞,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/08/01 17:00,皇昌營造股份有限公司,高速公路拓寬工程 (第1期),臺中市西屯區台灣大道328號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/08/10 08:00,互助營造股份有限公司,集合住宅新建工程 (第1期),新北市板橋區文化路19號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/12/11 17:00,建國工程股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路110號,被撞,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/05/06 12:00,大陸工程股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路444號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/06/10 10:00,皇昌營造股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路410號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/02/06 12:00,中鼎工程股份有限公司,高速公路拓寬工程 (第3期),臺北市內湖區瑞光路158號,墜落、滾落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/01/11 08:00,達欣工程股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路307號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
106/06/28 11:00,大陸工程股份有限公司,中心商業大樓新建案 (第1期),桃園市中壢區中正路472號,倒塌、崩塌,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/08/03 08:00,建國工程股份有限公司,捷運系統土建工程 (第1期),臺北市內湖區瑞光路218號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
106/07/26 12:00,皇昌營造股份有限公司,集合住宅新建工程 (第2期),桃園市中壢區中正路471號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
106/09/25 09:00,根基營造股份有限公司,中心商業大樓新建案 (第3期),新北市板橋區文化路415號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
106/02/21 10:00,根基營造股份有限公司,廠房新建工程 (第2期),桃園市中壢區中正路11號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
106/08/16 11:00,皇昌營造股份有限公司,集合住宅新建工程 (第2期),桃園市中壢區中正路148號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
106/02/14 10:00,互助營造股份有限公司,高速公路拓寬工程 (第1期),臺中市西屯區台灣大道88號,被撞,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/05/24 12:00,根基營造股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路354號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/08/22 10:00,大陸工程股份有限公司,集合住宅新建工程 (第2期),新北市板橋區文化路142號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
106/01/27 15:00,根基營造股份有限公司,高速公路拓寬工程 (第2期),桃園市中壢區中正路119號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
106/08/12 08:00,互助營造股份有限公司,集合住宅新建工程 (第1期),桃園市中壢區中正路202號,被撞,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
